"table_name","rows"
dim_customer,1000
dim_product,35
dim_campaign,7
fact_orders,5000
fact_order_items,8700
fact_customer_events,10000
2025-01-01,622,
2025-02-01,268,
2025-03-01,446,
2025-04-01,344,
2025-05-01,292,
2025-06-01,379,
2025-07-01,330,
2025-08-01,302,
2025-09-01,319,
2025-10-01,297,
2025-11-01,349,
2025-12-01,497,
New Year Event,447,
Other Days,3998,
Other Days,11.33,
New Year Event,37.25,
3000,2445,
Instagram,649,
Organic Search,441,
Google Ads,539,
TikTok,623,
Direct,378,
Affiliate,154,
Email,216,
0,27,
1,15,
2,30,
3,30,
4,24,
5,24,
6,50,
7,69,
8,119,
9,190,
10,239,
11,242,
12,204,
13,186,
14,185,
15,203,
16,237,
17,304,
18,382,
19,411,
20,495,
21,431,
22,215,
23,133,
Outerwear,127,
Footwear,93,
Bottoms,150,
Dresses,98,
Accessories,183,
Tops,164,
Activewear,61,
Chunky Sneakers,Footwear,
Block Heel Sandals,Footwear,
Relaxed Work Blazer,Outerwear,
Minimal Loafers,Footwear,
Satin Slip Dress,Dresses,
Structured Blazer,Outerwear,
Slim Fit Jeans,Bottoms,
Minimalist Jumpsuit,Dresses,
Floral Midi Dress,Dresses,
Lightweight Bomber Jacket,Outerwear,
Non-member,394,
Silver,262,
Gold,186,
Platinum,52,
New Customer,307,
894,730,
Accessories,Mini Shoulder Bag,
Accessories,Classic Leather Belt,
Accessories,Canvas Tote Bag,
Activewear,Flex Training Leggings,
Activewear,Dry-Fit Training Tee,
Activewear,Performance Sports Bra,
Bottoms,Slim Fit Jeans,
Bottoms,Cargo Utility Pants,
Bottoms,Pleated Wide Trousers,
Dresses,Floral Midi Dress,
Dresses,Minimalist Jumpsuit,
Dresses,Satin Slip Dress,
Footwear,Chunky Sneakers,
Footwear,Minimal Loafers,
Footwear,Court Sneakers,
Outerwear,Relaxed Work Blazer,
Outerwear,Structured Blazer,
Outerwear,Lightweight Bomber Jacket,
Tops,Linen Relaxed Shirt,
Tops,Satin Evening Blouse,
Tops,Classic Oxford Shirt,
CUST0029,27,
CUST0159,9,
CUST0763,6,
CUST0020,11,
CUST0516,15,
CUST0454,12,
CUST0827,19,
CUST0187,6,
CUST0022,10,
CUST0564,19,
CUST0429,16,
CUST0750,23,
CUST0299,6,
CUST0831,21,
CUST0949,11,
CUST0586,9,
CUST0723,13,
CUST0727,5,
CUST0797,18,
CUST0838,19,
CUST0816,2,
CUST0972,3,
CUST0100,1,
CUST0031,19,
CUST0910,20,
CUST0284,2,
CUST0130,15,
CUST0572,8,
CUST0124,1,
CUST0776,18,
CUST0752,1,
CUST0055,12,
CUST0183,34,
CUST0688,16,
CUST0254,11,
CUST0959,20,
CUST0744,19,
CUST0262,19,
CUST0145,15,
CUST0113,14,
CUST0034,23,
CUST0687,15,
CUST0932,5,
CUST0954,4,
CUST0808,9,
CUST0611,12,
CUST0974,17,
CUST0415,19,
CUST0235,7,
CUST0042,6,
CUST0598,74,
CUST0007,15,
CUST0601,1,
CUST0548,15,
CUST0917,4,
CUST0589,3,
CUST0795,24,
CUST0236,14,
CUST0308,67,
CUST0934,2,
CUST0952,66,
